NAME,state,county,Estimate!!Total!!Income in the past 12 months below poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months below poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months below poverty level!!85 years and over,Estimate!!Total!!Income in the past 12 months below poverty level,Estimate!!Total,Estimate!!Total!!Income in the past 12 months below poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months below poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months below poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months below poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level,Estimate!!Total!!Income in the past 12 months at or above poverty level!!6 to 11 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!Under 6 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!18 to 59 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!12 to 17 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!75 to 84 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!60 to 74 years,Estimate!!Total!!Income in the past 12 months at or above poverty level!!85 years and over
"Macon County, North Carolina",37,113,190.0,862.0,120.0,5679.0,34140.0,592.0,712.0,2624.0,579.0,28461.0,1294.0,1385.0,13146.0,1747.0,2814.0,7214.0,861.0
"Transylvania County, North Carolina",37,175,126.0,707.0,1.0,4776.0,32469.0,616.0,439.0,2397.0,490.0,27693.0,1224.0,1092.0,12511.0,1442.0,2816.0,7327.0,1281.0
"Columbus County, North Carolina",37,047,524.0,1577.0,166.0,12666.0,53198.0,1332.0,1695.0,6064.0,1308.0,40532.0,2580.0,1806.0,21139.0,3132.0,2656.0,8552.0,667.0
"Montgomery County, North Carolina",37,123,144.0,519.0,93.0,5178.0,26248.0,493.0,671.0,2626.0,632.0,21070.0,1432.0,1236.0,10351.0,1735.0,1370.0,4583.0,363.0
"Richmond County, North Carolina",37,153,339.0,1258.0,74.0,10503.0,43638.0,954.0,1675.0,5011.0,1192.0,33135.0,2274.0,1646.0,17686.0,2498.0,1924.0,6493.0,614.0
"Surry County, North Carolina",37,171,479.0,1490.0,410.0,11978.0,71076.0,1393.0,1213.0,5931.0,1062.0,59098.0,4025.0,3220.0,31243.0,4402.0,3447.0,11459.0,1302.0
"Buncombe County, North Carolina",37,021,1207.0,3671.0,488.0,30609.0,248033.0,3071.0,2472.0,17331.0,2369.0,217424.0,12729.0,12681.0,118776.0,14055.0,12111.0,42294.0,4778.0
"Cabarrus County, North Carolina",37,025,430.0,2134.0,279.0,21822.0,199612.0,2783.0,2763.0,10950.0,2483.0,177790.0,14521.0,12594.0,101267.0,16529.0,6561.0,24052.0,2266.0
"Davidson County, North Carolina",37,057,1010.0,2655.0,285.0,25064.0,162196.0,3021.0,2758.0,12946.0,2389.0,137132.0,9800.0,7743.0,74884.0,10291.0,7990.0,24531.0,1893.0
"Hertford County, North Carolina",37,091,219.0,677.0,154.0,5125.0,21932.0,481.0,689.0,2418.0,487.0,16807.0,1009.0,566.0,8900.0,1327.0,1130.0,3579.0,296.0
"Pender County, North Carolina",37,141,320.0,1052.0,90.0,8709.0,57752.0,962.0,912.0,4687.0,686.0,49043.0,3329.0,3138.0,25922.0,4040.0,2547.0,9276.0,791.0
"Watauga County, North Carolina",37,189,238.0,592.0,151.0,13155.0,48369.0,414.0,444.0,10809.0,507.0,35214.0,1878.0,1853.0,19280.0,1860.0,2076.0,7639.0,628.0
"Tyrrell County, North Carolina",37,177,115.0,162.0,49.0,863.0,3425.0,99.0,75.0,300.0,63.0,2562.0,127.0,95.0,1294.0,71.0,215.0,708.0,52.0
"Traill County, North Dakota",38,097,33.0,76.0,36.0,504.0,7613.0,13.0,33.0,301.0,12.0,7109.0,560.0,594.0,3608.0,595.0,389.0,1192.0,171.0
"Dickey County, North Dakota",38,021,6.0,66.0,16.0,252.0,4726.0,0.0,13.0,134.0,17.0,4474.0,372.0,306.0,2181.0,432.0,268.0,777.0,138.0
"Ward County, North Dakota",38,101,172.0,527.0,94.0,6065.0,66989.0,463.0,738.0,3620.0,451.0,60924.0,4989.0,5377.0,36179.0,4003.0,2354.0,7026.0,996.0
"McHenry County, North Dakota",38,049,52.0,122.0,13.0,504.0,5841.0,56.0,24.0,191.0,46.0,5337.0,499.0,393.0,2642.0,367.0,333.0,976.0,127.0
"Benson County, North Dakota",38,005,38.0,109.0,13.0,2376.0,6836.0,415.0,451.0,983.0,367.0,4460.0,368.0,404.0,2184.0,333.0,246.0,857.0,68.0
"Renville County, North Dakota",38,075,3.0,19.0,14.0,114.0,2437.0,2.0,11.0,56.0,9.0,2323.0,178.0,223.0,1215.0,153.0,124.0,384.0,46.0
"Burleigh County, North Dakota",38,015,333.0,669.0,418.0,7534.0,90461.0,597.0,828.0,4368.0,321.0,82927.0,6593.0,6937.0,45855.0,5877.0,3321.0,12498.0,1846.0
"Oliver County, North Dakota",38,065,17.0,14.0,2.0,165.0,1831.0,26.0,0.0,81.0,25.0,1666.0,118.0,138.0,713.0,128.0,101.0,433.0,35.0
